Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-03,1,1,1,NA,NA,NA,lo rompen,NA,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-05,NA,NA,NA,1,1,NA,comen la pizza,DP,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-07,NA,NA,NA,1,1,NA,cuentan los números,DP,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-09,NA,NA,NA,1,1,NA,ponen las chaquetas,DP,Clitic,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-11,NA,NA,NA,1,1,SUBJ,laven el perro,DP,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-13,NA,NA,NA,1,1,NA,escuchan a la música,DP,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-15,NA,NA,NA,1,1,NA,poniendo los libros,DP,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-17,NA,NA,NA,1,1,NA,comen las galletas,DP,Clitic,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-19,NA,NA,NA,1,1,SUBJ,cocinen el pescado,DP,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-21,NA,NA,NA,1,1,SUBJ,cierren la puerta,DP,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25
