Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct,Verb_Freq_Std
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-02,0,NA,NA,NA,NA,NA,quiere escribir,Infinitive,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25,-0.6273761637142651
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,que hacen ejercicio,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25,2.252878130498378
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-10,0,NA,NA,NA,NA,NA,quiere abrir,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25,-0.769854120553205
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-14,1,NA,NA,NA,NA,NA,salgan,NA,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25,-0.2318814061155509
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-18,1,NA,NA,NA,NA,NA,coman,NA,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25,-0.6881439157243551
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-22,0,NA,NA,NA,NA,NA,ponen la chaqueta,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25,-0.33645558295898137
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-26,0,NA,NA,NA,NA,NA,ven,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25,0.947884570880832
H17,HS 4th/5th,5,10,126,2,6,NA,8,Production,Prod-28,0,NA,NA,NA,NA,NA,hace sol,Indicative,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,8,0.25,-0.5470515123128521
H20,HS 4th/5th,5,11,138,5,5,NA,8,Production,Prod-02,0,NA,NA,NA,NA,NA,escriben,Indicative,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.6273761637142651
H20,HS 4th/5th,5,11,138,5,5,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,hacen ejercicio,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,2.252878130498378
H20,HS 4th/5th,5,11,138,5,5,NA,8,Production,Prod-10,0,NA,NA,NA,NA,NA,abrir,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.769854120553205
H20,HS 4th/5th,5,11,138,5,5,NA,8,Production,Prod-14,0,NA,NA,NA,NA,NA,se van,Indicative,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.2318814061155509
H20,HS 4th/5th,5,11,138,5,5,NA,8,Production,Prod-18,0,NA,NA,NA,NA,NA,comen,Indicative,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.6881439157243551
