Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-03,NA,NA,NA,NA,NA,SE,se rompan,se,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-05,NA,NA,NA,0,1,NA,estan comiendo el. pizza,DP,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-07,NA,NA,NA,NA,NA,NA,estan contando,Omission,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-09,NA,NA,NA,NA,NA,"Removed DP code, English -Jen",esta poniendo el sweater,DP,Clitic,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-11,NA,NA,NA,1,1,english verb,esta showering el perro,DP,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-13,NA,NA,NA,NA,NA,NA,esta escuchando,Omission,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-15,NA,NA,NA,NA,NA,NA,esta tocando para lee,Omission,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-17,NA,NA,NA,NA,NA,NA,estan comiendo,Omission,Clitic,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-19,NA,NA,NA,NA,NA,NA,esta cocinando,Omission,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-21,NA,NA,NA,NA,NA,NA,estan abriendo,Omission,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
H47,HS 2nd,2,8,99,2,6,NA,8,Production,Prod-23,NA,NA,NA,NA,NA,NA,estan tocando,Omission,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd,8,0.25
