Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-03,NA,NA,NA,NA,NA,NA,romper,Omission,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-05,NA,NA,NA,NA,NA,NA,están comiendo,Omission,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-07,NA,NA,NA,NA,NA,NA,cuenta los números,DP,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-09,NA,NA,NA,1,1,NA,ponen las chaquetas...,DP,Clitic,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-11,NA,NA,NA,NA,NA,NA,lavar el perro,DP,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-13,NA,NA,NA,NA,NA,NA,escuchar la música,DP,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-15,NA,NA,NA,1,1,NA,pusiste los libros,DP,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-17,NA,NA,NA,1,1,NA,comiendo las galletas,DP,Clitic,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-19,NA,NA,NA,1,1,NA,preparando el pescado,DP,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-21,NA,NA,NA,NA,NA,NA,cierran la puerta,DP,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-23,NA,NA,NA,NA,NA,NA,jugar la música,DP,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-25,NA,NA,NA,NA,NA,NA,los niños ponen la mascarillas,DP,Clitic,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-03,1,1,1,NA,NA,NA,lo están destruyendo,NA,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-05,0,0,1,NA,NA,Changed accuracy to 0 -Jen,lo está comiendo,NA,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-07,1,1,1,NA,NA,NA,los están contando,NA,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-09,0,0,1,NA,NA,NA,los están quitando,Gender,Clitic,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-11,1,1,1,NA,NA,NA,lo están bañando,NA,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-13,0,0,1,NA,NA,NA,lo están escuchando,Gender,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-15,0,1,0,NA,NA,Changed accuracy to 0-Jen,lo están regresando,NA,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-17,0,0,1,NA,NA,NA,se los comen,NA,Clitic,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-19,1,1,1,NA,NA,NA,lo están cocinando,NA,Clitic,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-21,0,0,1,NA,NA,NA,lo cierran,Omission,Clitic,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-23,NA,NA,NA,NA,NA,NA,están haciendo música,DP,Clitic,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-25,1,1,1,NA,NA,NA,se las ponen,NA,Clitic,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5
