Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct,Verb_Freq_Std
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-02,0,NA,NA,NA,NA,NA,que ellos escriben,Indicative,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25,-0.6256721057991523
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,que los niños juegan,Regular verb,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25,2.2467589391230915
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-10,0,NA,NA,NA,NA,Code 0 for accuracy added -Jen,abrir la puerta,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25,-0.7677630688309908
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-14,1,NA,NA,NA,NA,Code 1 for accuracy added -Jen,quiere que sus amigos entren,Regular verb,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25,-0.23125157768356308
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-18,0,NA,NA,NA,NA,NA,que los niños se comen,Indicative,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25,-0.6862748024966794
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-22,0,NA,NA,NA,NA,NA,quiere que ponen,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25,-0.3355417136850345
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-26,0,NA,NA,NA,NA,Code ) for accuracy and infinitive added -Jen,ver televisión,Infinitive,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25,0.9453099588712524
H05,HS 7th/8th,8,NA,174,2,6,NA,8,Production,Prod-28,NA,NA,NA,NA,NA,NA,NA,Omission,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.25,-0.5455656294989241
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-02,0,NA,NA,NA,NA,NA,quiere leer,Infinitive,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5,-0.6256721057991523
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-06,1,NA,NA,NA,NA,Changed accuracy to 1 -Jen,jueguen,Regular verb,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5,2.2467589391230915
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-10,0,NA,NA,NA,NA,NA,que abren la puerta,Indicative,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5,-0.7677630688309908
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-14,0,NA,NA,NA,NA,NA,que salen,Indicative,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5,-0.23125157768356308
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-18,0,NA,NA,NA,NA,NA,que comen,Indicative,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5,-0.6862748024966794
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-22,0,NA,NA,NA,NA,Extra clitic,que se los ponen,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5,-0.3355417136850345
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-26,1,NA,NA,NA,NA,NA,que vean,NA,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5,0.9453099588712524
H07,HS 7th/8th,8,NA,171,4,4,NA,8,Production,Prod-28,1,NA,NA,NA,NA,NA,esté soleado,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,8,0.5,-0.5455656294989241
H15,HS 7th/8th,8,NA,172,1,4,NA,8,Production,Prod-02,0,NA,NA,NA,NA,NA,escribir algo,Infinitive,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,5,0.2,-0.6256721057991523
H15,HS 7th/8th,8,NA,172,1,4,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,hacen trabajo,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,5,0.2,2.2467589391230915
H15,HS 7th/8th,8,NA,172,1,4,NA,8,Production,Prod-10,0,NA,NA,NA,NA,NA,abrir,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,5,0.2,-0.7677630688309908
H15,HS 7th/8th,8,NA,172,1,4,NA,8,Production,Prod-14,0,NA,NA,NA,NA,NA,salir,Infinitive,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,5,0.2,-0.23125157768356308
H15,HS 7th/8th,8,NA,172,1,4,NA,8,Production,Prod-18,0,NA,NA,NA,NA,NA,comer el pollo,Infinitive,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,5,0.2,-0.6862748024966794
H15,HS 7th/8th,8,NA,172,1,4,NA,8,Production,Prod-22,0,NA,NA,NA,NA,Extra clitic,ponerlo,Infinitive,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,5,0.2,-0.3355417136850345
H15,HS 7th/8th,8,NA,172,1,4,NA,8,Production,Prod-26,0,NA,NA,NA,NA,NA,ver la televisión,Infinitive,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,5,0.2,0.9453099588712524
H15,HS 7th/8th,8,NA,172,1,4,NA,8,Production,Prod-28,1,NA,NA,NA,NA,NA,esté sol,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,5,0.2,-0.5455656294989241
H38,HS 7th/8th,7,NA,159,2,5,NA,8,Production,Prod-02,0,NA,NA,NA,NA,NA,estás escribiendo,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,7,0.2857142857142857,-0.6256721057991523
H38,HS 7th/8th,7,NA,159,2,5,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,que juegan y hacer ejercicio,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,7,0.2857142857142857,2.2467589391230915
H38,HS 7th/8th,7,NA,159,2,5,NA,8,Production,Prod-10,0,NA,NA,NA,NA,Added code 0 for accuracy,abrir la puerta,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,7,0.2857142857142857,-0.7677630688309908
H38,HS 7th/8th,7,NA,159,2,5,NA,8,Production,Prod-14,0,NA,NA,NA,NA,NA,que salen,indicative,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,7,0.2857142857142857,-0.23125157768356308
H38,HS 7th/8th,7,NA,159,2,5,NA,8,Production,Prod-18,0,NA,NA,NA,NA,Added 0 code for accuracy -Jen,comen la comida,Indicative,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,7,0.2857142857142857,-0.6862748024966794
H38,HS 7th/8th,7,NA,159,2,5,NA,8,Production,Prod-22,0,NA,NA,NA,NA,NA,que ponen las chaquetas,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,7,0.2857142857142857,-0.3355417136850345
H38,HS 7th/8th,7,NA,159,2,5,NA,8,Production,Prod-26,0,NA,NA,NA,NA,NA,mirar la televisión,Infinitive,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,7,0.2857142857142857,0.9453099588712524
H38,HS 7th/8th,7,NA,159,2,5,NA,8,Production,Prod-28,NA,NA,NA,NA,NA,NA,una mañana más soleado,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,7,0.2857142857142857,-0.5455656294989241
H64,HS 7th/8th,7,13,NA,NA,NA,NA,8,Production,Prod-02,NA,NA,NA,NA,NA,Removed 0 for accuracy-verb unclear -Jen,escritan,Other,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,NA,NA,-0.6256721057991523
H64,HS 7th/8th,7,13,NA,NA,NA,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,hacer ejercicio,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,NA,NA,2.2467589391230915
H64,HS 7th/8th,7,13,NA,NA,NA,NA,8,Production,Prod-10,0,NA,NA,NA,NA,NA,abren,Indicative,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,NA,NA,-0.7677630688309908
H64,HS 7th/8th,7,13,NA,NA,NA,NA,8,Production,Prod-14,0,NA,NA,NA,NA,NA,salen,Indicative,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,NA,HS,7th/8th,NA,NA,-0.23125157768356308
