Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct
H01,1,1,L2L 4th/5th,5,NA,129,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Production,Prod-01,0,NA,NA,NA,NA,NA,un niño,Omission,DOM,Masculine,Singular,NA,NA,NA,-2.022723661144287,L2L,4th/5th,6,0.16666666666666666
H01,1,1,L2L 4th/5th,5,NA,129,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Production,Prod-04,0,NA,NA,NA,NA,NA,la niño,Omission,DOM,Masculine,Singular,NA,NA,NA,-2.022723661144287,L2L,4th/5th,6,0.16666666666666666
H01,1,1,L2L 4th/5th,5,NA,129,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Production,Prod-08,0,NA,NA,NA,NA,NA,el perro y la niña,Omission,DOM,Feminine,Singular,NA,NA,NA,-2.022723661144287,L2L,4th/5th,6,0.16666666666666666
H01,1,1,L2L 4th/5th,5,NA,129,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Production,Prod-12,0,NA,NA,NA,NA,NA,su niño,Omission,DOM,Masculine,Singular,NA,NA,NA,-2.022723661144287,L2L,4th/5th,6,0.16666666666666666
H01,1,1,L2L 4th/5th,5,NA,129,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Production,Prod-16,0,NA,NA,NA,NA,NA,la mamá ve el bebé,Omission,DOM,Masculine,Singular,NA,NA,NA,-2.022723661144287,L2L,4th/5th,6,0.16666666666666666
H01,1,1,L2L 4th/5th,5,NA,129,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Production,Prod-20,0,NA,NA,NA,NA,NA,ve a la niña,NA,DOM,Feminine,Singular,NA,NA,NA,-2.022723661144287,L2L,4th/5th,6,0.16666666666666666
H01,1,1,L2L 4th/5th,5,NA,129,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Production,Prod-24,0,NA,NA,NA,NA,NA,ve las niñas,Omission,DOM,Feminine,Plural,NA,NA,NA,-2.022723661144287,L2L,4th/5th,6,0.16666666666666666
H01,1,1,L2L 4th/5th,5,NA,129,NA,NA,NA,1,5,NA,3,L2 learner,L2,L2,L2,Production,Prod-27,0,NA,NA,NA,NA,NA,la mamá ve los niños,Omission,DOM,Feminine,Plural,NA,NA,NA,-2.022723661144287,L2L,4th/5th,6,0.16666666666666666
H18,1,1,L2L 4th/5th,5,10,130,NA,NA,NA,3,4,NA,8,"Russian, Lithuanian",No,Yes,Yes,Production,Prod-01,1,NA,NA,NA,NA,NA,a su hijo,NA,DOM,Masculine,Singular,NA,NA,NA,0.7241850144837578,L2L,4th/5th,7,0.42857142857142855
H18,1,1,L2L 4th/5th,5,10,130,NA,NA,NA,3,4,NA,8,"Russian, Lithuanian",No,Yes,Yes,Production,Prod-04,1,NA,NA,NA,NA,NA,a su hijo,NA,DOM,Masculine,Singular,NA,NA,NA,0.7241850144837578,L2L,4th/5th,7,0.42857142857142855
H18,1,1,L2L 4th/5th,5,10,130,NA,NA,NA,3,4,NA,8,"Russian, Lithuanian",No,Yes,Yes,Production,Prod-08,1,NA,NA,NA,NA,NA,a una niña,NA,DOM,Feminine,Singular,NA,NA,NA,0.7241850144837578,L2L,4th/5th,7,0.42857142857142855
H18,1,1,L2L 4th/5th,5,10,130,NA,NA,NA,3,4,NA,8,"Russian, Lithuanian",No,Yes,Yes,Production,Prod-12,1,NA,NA,NA,NA,NA,al niño,NA,DOM,Masculine,Singular,NA,NA,NA,0.7241850144837578,L2L,4th/5th,7,0.42857142857142855
H18,1,1,L2L 4th/5th,5,10,130,NA,NA,NA,3,4,NA,8,"Russian, Lithuanian",No,Yes,Yes,Production,Prod-16,1,NA,NA,NA,NA,NA,a su hijo,NA,DOM,Masculine,Singular,NA,NA,NA,0.7241850144837578,L2L,4th/5th,7,0.42857142857142855
H18,1,1,L2L 4th/5th,5,10,130,NA,NA,NA,3,4,NA,8,"Russian, Lithuanian",No,Yes,Yes,Production,Prod-20,1,NA,NA,NA,NA,NA,a la niña,NA,DOM,Feminine,Singular,NA,NA,NA,0.7241850144837578,L2L,4th/5th,7,0.42857142857142855
H18,1,1,L2L 4th/5th,5,10,130,NA,NA,NA,3,4,NA,8,"Russian, Lithuanian",No,Yes,Yes,Production,Prod-24,1,NA,NA,NA,NA,NA,a las niñas,NA,DOM,Feminine,Plural,NA,NA,NA,0.7241850144837578,L2L,4th/5th,7,0.42857142857142855
H18,1,1,L2L 4th/5th,5,10,130,NA,NA,NA,3,4,NA,8,"Russian, Lithuanian",No,Yes,Yes,Production,Prod-27,1,NA,NA,NA,NA,NA,a las niñas,NA,DOM,Feminine,Plural,NA,NA,NA,0.7241850144837578,L2L,4th/5th,7,0.42857142857142855
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Production,Prod-01,0,NA,NA,NA,NA,NA,el niño,Omission,DOM,Masculine,Singular,NA,NA,NA,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Production,Prod-04,NA,NA,NA,NA,NA,NA,la mamá es con el niño,Other,DOM,Masculine,Singular,NA,NA,NA,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Production,Prod-08,NA,NA,NA,NA,NA,NA,pushing,English,DOM,Feminine,Singular,NA,NA,NA,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Production,Prod-12,1,NA,NA,NA,NA,NA,licking al niño,NA,DOM,Masculine,Singular,NA,NA,NA,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Production,Prod-16,0,NA,NA,NA,NA,NA,el niño,Omission,DOM,Masculine,Singular,NA,NA,NA,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Production,Prod-20,0,NA,NA,NA,NA,NA,atacado la niña,Other,DOM,Feminine,Singular,NA,NA,NA,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Production,Prod-24,0,NA,NA,NA,NA,NA,atacado las niñas,Omission,DOM,Feminine,Plural,NA,NA,NA,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857
H19,1,1,L2L 4th/5th,5,10,129,NA,NA,NA,2,5,NA,4,Russian,No,Yes,Yes,Production,Prod-27,0,NA,NA,NA,NA,"DP Gen,Num",calling el niñas,Omission,DOM,Feminine,Plural,NA,NA,NA,-1.473341926018678,L2L,4th/5th,7,0.2857142857142857
H21,1,1,L2L 4th/5th,5,11,NA,NA,NA,NA,NA,NA,NA,8,L2 learner,L2,L2,L2,Production,Prod-01,0,NA,NA,NA,NA,NA,un niño,Omission,DOM,Masculine,Singular,NA,NA,NA,0.7241850144837578,L2L,4th/5th,NA,NA
