Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-03,NA,NA,NA,NA,NA,english ver,popped,English,Clitic,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-05,1,1,1,NA,NA,NA,comiendola,NA,Clitic,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-07,NA,NA,NA,NA,NA,english ver,count,English,Clitic,Masculine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-09,NA,NA,NA,NA,NA,english ver,put on,English,Clitic,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-11,NA,NA,NA,NA,NA,ENGLISH OBJECT WITH SPANIISH DETERMINER,poniendo en una bath,English,Clitic,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-13,NA,NA,NA,NA,NA,english object,poniendo in earbuds,English,Clitic,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-15,NA,NA,NA,NA,NA,NA,poniendo en mesa,Omission,Clitic,Masculine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-17,NA,NA,NA,NA,NA,NA,comiendo,Omission,Clitic,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-19,NA,NA,NA,NA,NA,bare noun,poniendo fuego,BN,Clitic,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-21,NA,NA,NA,1,1,english verb,close la puerta,English,Clitic,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-23,NA,NA,NA,NA,NA,NA,play,English,Clitic,Masculine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Production,Prod-25,NA,NA,NA,NA,NA,bare noun,poner mascara en face,BN,Clitic,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,0.6939869413045499,L2L,2nd,9,0.4444444444444444
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-03,0,NA,NA,NA,NA,english verb,el globo pop,English,Clitic,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-05,NA,NA,NA,0,1,NA,el niño y niñas comer el pizza,DP,Clitic,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-07,NA,NA,NA,1,0,NA,el  niños se dijo el numeros,DP,Clitic,Masculine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-09,NA,NA,NA,1,1,NA,el niñas put on. las chaquetas,DP,Clitic,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-11,NA,NA,NA,1,1,NA,wash el perro,DP,Clitic,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-13,NA,NA,NA,NA,NA,Code for DP removed because PP -Jen,listen por el musica,DP,Clitic,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-15,NA,NA,NA,1,1,NA,los niños tiene los libros,DP,Clitic,Masculine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-17,NA,NA,NA,0,1,NA,comer los galletas,DP,Clitic,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-19,NA,NA,NA,1,1,english verb,cooked el pescado,DP,Clitic,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-21,NA,NA,NA,NA,NA,ENGLISH OBJECT w/ Spanish determiner,el niños shut el door,English,Clitic,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-23,NA,NA,NA,NA,NA,ENGLISH OBJECT w/ Spanish determiner,play el instruments,English,Clitic,Masculine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Production,Prod-25,NA,NA,NA,1,1,NA,los niños use las mascarillas,DP,Clitic,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,-0.81600662329216,L2L,2nd,8,0.25
H52,L2L 2nd,2,8,98,0,6,NA,3,Production,Prod-03,NA,NA,NA,NA,NA,english verb,estan poking,English,Clitic,Masculine,Singular,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.81600662329216,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Production,Prod-05,NA,NA,NA,1,1,NA,comer la pizza,DP,Clitic,Feminine,Singular,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.81600662329216,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Production,Prod-07,NA,NA,NA,NA,NA,NA,estan 1. 2 3,Omission,Clitic,Masculine,Plural,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.81600662329216,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Production,Prod-09,NA,NA,NA,NA,NA,BN,esta frio y poner chaqueta,BN,Clitic,Feminine,Plural,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.81600662329216,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Production,Prod-11,NA,NA,NA,1,1,NA,esta limpiando el perro,DP,Clitic,Masculine,Singular,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.81600662329216,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Production,Prod-13,NA,NA,NA,1,1,NA,esta. escuchar la musica,DP,Clitic,Feminine,Singular,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.81600662329216,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Production,Prod-15,NA,NA,NA,NA,NA,BN,pone libros enla mesa,BN,Clitic,Masculine,Plural,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.81600662329216,L2L,2nd,6,0
