Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct
H49,L2L 2nd,2,8,89,4,5,NA,6,Forced Choice,FCT-01,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6991254737616103,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Forced Choice,FCT-04,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6991254737616103,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Forced Choice,FCT-08,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6991254737616103,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Forced Choice,FCT-12,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6991254737616103,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Forced Choice,FCT-16,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6991254737616103,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Forced Choice,FCT-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6991254737616103,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Forced Choice,FCT-24,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6991254737616103,L2L,2nd,9,0.4444444444444444
H49,L2L 2nd,2,8,89,4,5,NA,6,Forced Choice,FCT-27,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6991254737616103,L2L,2nd,9,0.4444444444444444
H51,L2L 2nd,2,8,100,2,6,NA,3,Forced Choice,FCT-01,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,-0.8121347969175982,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Forced Choice,FCT-04,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-0.8121347969175982,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Forced Choice,FCT-08,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,-0.8121347969175982,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Forced Choice,FCT-12,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-0.8121347969175982,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Forced Choice,FCT-16,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,-0.8121347969175982,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Forced Choice,FCT-20,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-0.8121347969175982,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Forced Choice,FCT-24,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,-0.8121347969175982,L2L,2nd,8,0.25
H51,L2L 2nd,2,8,100,2,6,NA,3,Forced Choice,FCT-27,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-0.8121347969175982,L2L,2nd,8,0.25
H52,L2L 2nd,2,8,98,0,6,NA,3,Forced Choice,FCT-01,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.8121347969175982,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Forced Choice,FCT-04,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.8121347969175982,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Forced Choice,FCT-08,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.8121347969175982,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Forced Choice,FCT-12,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.8121347969175982,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Forced Choice,FCT-16,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.8121347969175982,L2L,2nd,6,0
H52,L2L 2nd,2,8,98,0,6,NA,3,Forced Choice,FCT-20,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"German, Russian",No,Yes,Yes,-0.8121347969175982,L2L,2nd,6,0
