Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct
H49,1,1,L2L 2nd,2,8,89,NA,NA,NA,4,5,NA,6,L2 learner,L2,L2,L2,Production,Prod-01,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.4444444444444444
H49,1,1,L2L 2nd,2,8,89,NA,NA,NA,4,5,NA,6,L2 learner,L2,L2,L2,Production,Prod-04,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.4444444444444444
H49,1,1,L2L 2nd,2,8,89,NA,NA,NA,4,5,NA,6,L2 learner,L2,L2,L2,Production,Prod-08,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.4444444444444444
H49,1,1,L2L 2nd,2,8,89,NA,NA,NA,4,5,NA,6,L2 learner,L2,L2,L2,Production,Prod-12,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.4444444444444444
H49,1,1,L2L 2nd,2,8,89,NA,NA,NA,4,5,NA,6,L2 learner,L2,L2,L2,Production,Prod-16,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.4444444444444444
H49,1,1,L2L 2nd,2,8,89,NA,NA,NA,4,5,NA,6,L2 learner,L2,L2,L2,Production,Prod-20,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.4444444444444444
H49,1,1,L2L 2nd,2,8,89,NA,NA,NA,4,5,NA,6,L2 learner,L2,L2,L2,Production,Prod-24,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,9,0.4444444444444444
H49,1,1,L2L 2nd,2,8,89,NA,NA,NA,4,5,NA,6,L2 learner,L2,L2,L2,Production,Prod-27,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,9,0.4444444444444444
H51,1,1,L2L 2nd,2,8,100,NA,NA,NA,2,6,NA,3,L2 learner,L2,L2,L2,Production,Prod-01,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,8,0.25
H51,1,1,L2L 2nd,2,8,100,NA,NA,NA,2,6,NA,3,L2 learner,L2,L2,L2,Production,Prod-04,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,8,0.25
H51,1,1,L2L 2nd,2,8,100,NA,NA,NA,2,6,NA,3,L2 learner,L2,L2,L2,Production,Prod-08,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,8,0.25
H51,1,1,L2L 2nd,2,8,100,NA,NA,NA,2,6,NA,3,L2 learner,L2,L2,L2,Production,Prod-12,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,8,0.25
H51,1,1,L2L 2nd,2,8,100,NA,NA,NA,2,6,NA,3,L2 learner,L2,L2,L2,Production,Prod-16,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,8,0.25
H51,1,1,L2L 2nd,2,8,100,NA,NA,NA,2,6,NA,3,L2 learner,L2,L2,L2,Production,Prod-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,8,0.25
H51,1,1,L2L 2nd,2,8,100,NA,NA,NA,2,6,NA,3,L2 learner,L2,L2,L2,Production,Prod-24,NA,NA,NA,NA,NA,NA,NA,Other,DOM,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,8,0.25
H51,1,1,L2L 2nd,2,8,100,NA,NA,NA,2,6,NA,3,L2 learner,L2,L2,L2,Production,Prod-27,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,8,0.25
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Production,Prod-01,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,6,0
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Production,Prod-04,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,6,0
