Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-01,1,,,,,,,,DOM,Masculine,,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-02,1,,,,,,,,Subjunctive,,,ver,1611795,Irregular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-03,1,,,,,,,,Clitic,Masculine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-04,1,,,,,,,,DOM,Feminine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-05,0,,,,,,,,Clitic,Feminine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-06,0,,,,,,,,Subjunctive,,,hacer,2726954,Irregular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-07,1,,,,,,,,Clitic,Masculine,Plural,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-08,0,,,,,,,,DOM,Masculine,,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-09,0,,,,,,,,Clitic,Feminine,Plural,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-10,1,,,,,,,,Subjunctive,,,comer,213756,Regular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-11,1,,,,,,,,Clitic,Masculine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-12,0,,,,,,,,DOM,Feminine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-13,1,,,,,,,,Clitic,Feminine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-14,1,,,,,,,,Subjunctive,,,ir,603647,Irregular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-15,0,,,,,,,,Clitic,Masculine,Plural,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-16,1,,,,,,,,DOM,Masculine,,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-17,1,,,,,,,,Clitic,Feminine,Plural,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-18,1,,,,,,,,Subjunctive,,,abrir,143932,Regular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-19,1,,,,,,,,Clitic,Masculine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-20,1,,,,,,,,DOM,Feminine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Forced Choice,FCT-21,1,,,,,,,,Clitic,Feminine,Singular,,,
