Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-01,0,,,,,,un niño,Omission,DOM,Masculine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-02,0,,,,,,escribir,Infinitive,Subjunctive,,,escribir,265684,Regular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-03,,,,1,1,,están romper el globo,DP,Clitic,Masculine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-04,0,,,,,,la niño,Omission,DOM,Masculine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-05,0,,,,,,comer,Infinitive,Clitic,Feminine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-06,0,,,,,,jugar,Infinitive,Subjunctive,,,hacer,2726954,Irregular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-07,,,,1,1,,contar los números,DP,Clitic,Masculine,Plural,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-08,0,,,,,,el perro y la niña,Omission,DOM,Feminine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-09,,,,0,1,,quitar los chaquetas,DP,Clitic,Feminine,Plural,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-10,0,,,,,,abrir la puerta,Infinitive,Subjunctive,,,abrir,143932,Regular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-11,,,,1,1,,los niños limpiar el perro,DP,Clitic,Masculine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-12,0,,,,,,su niño,Omission,DOM,Masculine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-13,,,,1,1,,escuchar la música,DP,Clitic,Feminine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-14,0,,,,,,ir,Infinitive,Subjunctive,,,ir,603647,Irregular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-15,,,,,,,los niños poner los libros en la mesa,DP,Clitic,Masculine,Plural,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-16,0,,,,,,la mamá ve el bebé,Omission,DOM,Masculine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-17,,,,1,1,,comer las galletas,DP,Clitic,Feminine,Plural,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-18,0,,,,,,quiere que ellos comer,Infinitive,Subjunctive,,,comer,213756,Regular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-19,,,,1,1,,están cocinar el pescado,DP,Clitic,Masculine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-20,0,,,,,,ve a la niña,,DOM,Feminine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-21,,,,1,1,,cerrar la puerta,DP,Clitic,Feminine,Singular,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-22,0,,,,,,la mamá quiere ponerse las chaquetas,Infinitive,Subjunctive,,,poner,514285,Irregular
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-23,,,,1,1,,hacer música con los instrumentos,DP,Clitic,Masculine,Plural,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-24,0,,,,,,ve las niñas,Omission,DOM,Feminine,Plural,,,
H01,1,1,L2,5,,129,,,,1,5,,3,L2 learner,L2,L2,L2,Production,Prod-25,1,,,1,1,,ponerlas,,Clitic,Feminine,Plural,,,
