Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Speaker_Group,Age_Group,Accuracy_Combined,Timing,Interface,Contexts,Study_Age,Months_at_Testing,SPA_Pct,Verb_Freq_Std,BESA_Std,Months_at_Start_Std
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-01,0,NA,NA,NA,NA,NA,un niño,Omission,DOM,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,0,Early,Yes,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-02,0,NA,NA,NA,NA,NA,escribir,Infinitive,Subjunctive,NA,NA,escribir,265684,Regular,L2 learner,L2,L2,L2,L2L,4th/5th,0,Late,No,6,0,-0.29261999833906793,0.16666666666666666,-0.6309881909597905,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-03,NA,NA,NA,1,1,NA,están romper el globo,DP,Article,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,1,Early,No,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-04,0,NA,NA,NA,NA,NA,la niño,Omission,DOM,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,0,Early,Yes,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-05,0,NA,NA,NA,NA,NA,comer,Infinitive,Clitic,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,NA,Late,Yes,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-06,0,NA,NA,NA,NA,NA,jugar,Infinitive,Subjunctive,NA,NA,hacer,2726954,Irregular,L2 learner,L2,L2,L2,L2L,4th/5th,0,Late,No,6,0,-0.29261999833906793,0.16666666666666666,2.2658487494967665,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-07,NA,NA,NA,1,1,NA,contar los números,DP,Article,Masculine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,1,Early,No,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-08,0,NA,NA,NA,NA,NA,el perro y la niña,Omission,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,0,Early,Yes,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-09,NA,NA,NA,0,1,NA,quitar los chaquetas,DP,Article,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,0,Early,No,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-10,0,NA,NA,NA,NA,NA,abrir la puerta,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,L2 learner,L2,L2,L2,L2L,4th/5th,0,Late,No,6,0,-0.29261999833906793,0.16666666666666666,-0.7742864439651361,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-11,NA,NA,NA,1,1,NA,los niños limpiar el perro,DP,Article,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,1,Early,No,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-12,0,NA,NA,NA,NA,NA,su niño,Omission,DOM,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,0,Early,Yes,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-13,NA,NA,NA,1,1,NA,escuchar la música,DP,Article,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,1,Early,No,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-14,0,NA,NA,NA,NA,NA,ir,Infinitive,Subjunctive,NA,NA,ir,603647,Irregular,L2 learner,L2,L2,L2,L2L,4th/5th,0,Late,No,6,0,-0.29261999833906793,0.16666666666666666,-0.23321642967089526,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-15,NA,NA,NA,NA,NA,NA,los niños poner los libros en la mesa,DP,Clitic,Masculine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,NA,Late,Yes,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-16,0,NA,NA,NA,NA,NA,la mamá ve el bebé,Omission,DOM,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,0,Early,Yes,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-17,NA,NA,NA,1,1,NA,comer las galletas,DP,Article,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,1,Early,No,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-18,0,NA,NA,NA,NA,NA,quiere que ellos comer,Infinitive,Subjunctive,NA,NA,comer,213756,Regular,L2 learner,L2,L2,L2,L2L,4th/5th,0,Late,No,6,0,-0.29261999833906793,0.16666666666666666,-0.6921058044861522,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-19,NA,NA,NA,1,1,NA,están cocinar el pescado,DP,Article,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,1,Early,No,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-20,0,NA,NA,NA,NA,NA,ve a la niña,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,0,Early,Yes,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-21,NA,NA,NA,1,1,NA,cerrar la puerta,DP,Article,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,1,Early,No,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-22,0,NA,NA,NA,NA,NA,la mamá quiere ponerse las chaquetas,Infinitive,Subjunctive,NA,NA,poner,514285,Irregular,L2 learner,L2,L2,L2,L2L,4th/5th,0,Late,No,6,0,-0.29261999833906793,0.16666666666666666,-0.338392677166326,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-23,NA,NA,NA,1,1,NA,hacer música con los instrumentos,DP,Article,Masculine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,1,Early,No,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-24,0,NA,NA,NA,NA,NA,ve las niñas,Omission,DOM,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,0,Early,Yes,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-25,1,NA,NA,1,1,NA,ponerlas,NA,Article,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,1,Early,No,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-26,0,NA,NA,NA,NA,NA,ven la televisión,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,L2 learner,L2,L2,L2,L2L,4th/5th,0,Late,No,6,0,-0.29261999833906793,0.16666666666666666,0.9533418787826256,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-27,0,NA,NA,NA,NA,NA,la mamá ve los niños,Omission,DOM,Feminine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,L2L,4th/5th,0,Early,Yes,6,0,-0.29261999833906793,0.16666666666666666,NA,-1.9336379261144065,-0.29261999833904306
H01,1,1,L2L 4th/5th,5,NA,-0.29261999833906793,NA,NA,NA,1,5,NA,3,Production,Prod-28,0,NA,NA,NA,NA,NA,el sol que salir,Indicative,Subjunctive,NA,NA,salir,334324,Irregular,L2 learner,L2,L2,L2,L2L,4th/5th,0,Late,No,6,0,-0.29261999833906793,0.16666666666666666,-0.550201082031092,-1.9336379261144065,-0.29261999833904306
H02,1,1,L2L 7th/8th,8,NA,1.4114843932124121,NA,NA,NA,2,4,NA,8,Production,Prod-01,0,NA,NA,NA,NA,NA,ve a nos* al centro,NA,DOM,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,7th/8th,0,Early,Yes,6,0,1.4114843932124121,0.3333333333333333,NA,0.6822680503847559,1.4114843932124381
H02,1,1,L2L 7th/8th,8,NA,1.4114843932124121,NA,NA,NA,2,4,NA,8,Production,Prod-02,1,NA,NA,NA,NA,NA,escriban,NA,Subjunctive,NA,NA,escribir,265684,Regular,L2 learner,L2,L2,L2,L2L,7th/8th,1,Late,No,6,0,1.4114843932124121,0.3333333333333333,-0.6309881909597905,0.6822680503847559,1.4114843932124381
H02,1,1,L2L 7th/8th,8,NA,1.4114843932124121,NA,NA,NA,2,4,NA,8,Production,Prod-03,1,1,1,NA,NA,NA,rompiéndolo,NA,Clitic,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,7th/8th,1,Late,Yes,6,0,1.4114843932124121,0.3333333333333333,NA,0.6822680503847559,1.4114843932124381
H02,1,1,L2L 7th/8th,8,NA,1.4114843932124121,NA,NA,NA,2,4,NA,8,Production,Prod-04,0,NA,NA,NA,NA,NA,el niño,DP,DOM,Masculine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,7th/8th,0,Early,Yes,6,0,1.4114843932124121,0.3333333333333333,NA,0.6822680503847559,1.4114843932124381
H02,1,1,L2L 7th/8th,8,NA,1.4114843932124121,NA,NA,NA,2,4,NA,8,Production,Prod-05,1,1,1,NA,NA,NA,comerla,NA,Clitic,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,L2L,7th/8th,1,Late,Yes,6,0,1.4114843932124121,0.3333333333333333,NA,0.6822680503847559,1.4114843932124381
H02,1,1,L2L 7th/8th,8,NA,1.4114843932124121,NA,NA,NA,2,4,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,juegan/hacen ejercicio,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,L2 learner,L2,L2,L2,L2L,7th/8th,0,Late,No,6,0,1.4114843932124121,0.3333333333333333,2.2658487494967665,0.6822680503847559,1.4114843932124381
H02,1,1,L2L 7th/8th,8,NA,1.4114843932124121,NA,NA,NA,2,4,NA,8,Production,Prod-07,NA,NA,NA,NA,NA,NA,están contando,Omission,Clitic,Masculine,Plural,NA,NA,NA,L2 learner,L2,L2,L2,L2L,7th/8th,NA,Late,Yes,6,0,1.4114843932124121,0.3333333333333333,NA,0.6822680503847559,1.4114843932124381
